U1,U2,U3,U4,U5,U6,U7,U8,EV1,EV2,EV3,EV4,E1,E2,E3,E4,S1,S2,S3,S4,PC1,PC2,PC3,PC4,BI1,BI2,BI3,BI4,SS1,SS2,SS3,SS4,SS5
4,5,4,4,4,4,4,4,5,5,5,5,5,3,3,4,4,5,4,5,5,5,5,5,3,5,3,3,5,5,5,5,5
3,4,3,4,5,5,4,5,4,5,4,5,5,5,4,4,1,5,4,3,5,4,3,4,1,2,3,2,1,2,3,2,4
5,3,4,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,2,4,5,5,4,5,5,5,5,5
4,3,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,4,4
4,5,4,4,3,4,5,4,5,5,5,5,4,4,3,4,4,4,4,3,4,5,5,3,4,4,4,3,3,4,4,4,3
1,3,4,4,1,1,4,5,4,4,3,4,1,1,1,3,1,5,1,1,5,5,4,1,2,2,4,3,2,4,1,1,1
4,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,3,3,4,4,5,4,3,3,3,3,3,4,3,3,3
3,4,3,5,4,3,4,4,5,5,5,5,3,4,4,4,4,5,5,3,4,5,4,5,5,4,3,3,3,3,3,3,4
4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3
4,3,2,4,4,2,5,3,5,5,5,5,4,1,3,2,4,3,4,3,3,4,5,5,2,3,2,3,4,3,4,3,4
3,2,3,4,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3
4,4,4,5,4,4,5,5,5,5,4,5,4,3,4,4,4,4,5,3,5,5,4,5,4,5,4,4,5,5,5,5,5
4,2,4,4,2,2,4,4,4,5,4,4,2,2,4,4,1,4,1,1,2,4,2,1,4,4,5,2,2,2,5,4,4
5,4,3,4,4,4,4,5,5,5,5,5,4,4,4,5,3,5,5,3,4,2,5,3,3,3,3,3,5,5,5,4,4
3,2,3,4,3,2,3,3,4,4,4,4,2,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,2,3,2,2,3
5,5,4,5,3,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,5,5
4,5,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,3,3,3,3,4,4,4
4,3,3,4,4,4,3,4,3,3,3,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,2,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,3,4,4,3,3,4,4,4,4,3,5,5,4,4,4,4,4,4,4,4,4,4,5,3,3,3,4,3,4,4,4,4
3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,4,4,5,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,3,4,4,3,3,3
4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4
